"ANOVA: glmmTMB(spec.nr.all~seed.density*seed.mixture+(1|replication)+(1|DensityBlock)+(1|blockgrowntogether), family = poisson(link = ""log""), data = aby24)";;;;;;;;;;;;;;;;;
;Chisq;Df;Pr(>Chisq);;;;;;;;;;;;;;
seed.density;0.2262;2;0.893100;;;;;;;;;;;;;;
seed.mixture;38.9785;4;0.000000;***;;;;;;;;;;;;;
seed.density:seed.mixture;3.897;8;0.866300;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
seed mixture;;;;;;;;density within seed mixture;;;;;;;;;
;;;;;;;;;;;;;;;;;
contrast;estimate;SE;df;z.ratio;p.value;;;seed.mixture;contrast;ratio;SE;df;asymp.LCL;asymp.UCL;null;z.ratio;p.value
L.nr - M.nr;-1;0.111;Inf;-4.708;<.0001;;;L.nr;seed.density1 / seed.density2;1.2;0.257;Inf;0.641;2.25;1;0.852;0.9995
L.nr - M.r;0;0;Inf;-3.273;0.0094;;;L.nr;seed.density1 / seed.density3;1.143;0.241;Inf;0.616;2.12;1;0.632;1
L.nr - I.nr;-1;0;Inf;-4.749;<.0001;;;L.nr;seed.density2 / seed.density3;0.952;0.21;Inf;0.499;1.82;1;-0.221;1
L.nr - H.r;0;0;Inf;-0.744;0.946;;;M.nr;seed.density1 / seed.density2;1.097;0.179;Inf;0.681;1.77;1;0.569;1
M.nr - M.r;0;0;Inf;1.493;0.5671;;;M.nr;seed.density1 / seed.density3;1.162;0.192;Inf;0.716;1.89;1;0.906;0.9989
M.nr - I.nr;-0.00419;0.0957;Inf;-0.044;1;;;M.nr;seed.density2 / seed.density3;1.059;0.179;Inf;0.645;1.74;1;0.338;1
M.nr - H.r;0.43211;0.1079;Inf;4.006;0.0006;;;M.r;seed.density1 / seed.density2;0.951;0.174;Inf;0.556;1.63;1;-0.275;1
M.r - I.nr;-0.1528;0.0995;Inf;-1.536;0.5387;;;M.r;seed.density1 / seed.density3;0.829;0.147;Inf;0.493;1.39;1;-1.059;0.9941
M.r - H.r;0.2835;0.1113;Inf;2.548;0.0803;;;M.r;seed.density2 / seed.density3;0.871;0.153;Inf;0.522;1.46;1;-0.786;0.9998
I.nr - H.r;0.4363;0.1078;Inf;4.048;0.0005;;;I.nr;seed.density1 / seed.density2;0.944;0.16;Inf;0.576;1.55;1;-0.338;1
;;;;;;;;I.nr;seed.density1 / seed.density3;0.85;0.14;Inf;0.524;1.38;1;-0.985;0.9972
;;;;;;;;I.nr;seed.density2 / seed.density3;0.9;0.146;Inf;0.559;1.45;1;-0.649;1
;;;;;;;;H.r;seed.density1 / seed.density2;0.92;0.188;Inf;0.506;1.67;1;-0.408;1
;;;;;;;;H.r;seed.density1 / seed.density3;1;0.209;Inf;0.543;1.84;1;0;1
;;;;;;;;H.r;seed.density2 / seed.density3;1.087;0.222;Inf;0.598;1.98;1;0.408;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;seed mixture within density;;;;;;;;;
seed densities;;;;;;;;;;;;;;;;;
;;;;;;;;seed.density;contrast;ratio;SE;df;asymp.LCL;asymp.UCL;null;z.ratio;p.value
contrast;estimate;SE;df;z.ratio;p.value;;;1;L.nr / M.nr;0.608;0.111;Inf;0.342;1.079;1;-2.723;0.1771
seed.density1 - seed.density2;0;0;Inf;0.2;0.9781;;;1;L.nr / M.r;0.828;0.161;Inf;0.449;1.526;1;-0.97;1
seed.density1 - seed.density3;0;0.0835;Inf;-0.161;0.9859;;;1;L.nr / I.nr;0.706;0.133;Inf;0.391;1.275;1;-1.848;0.8654
seed.density2 - seed.density3;0;0.084;Inf;-0.36;0.931;;;1;L.nr / H.r;1.043;0.215;Inf;0.546;1.993;1;0.206;1
;;;;;;;;1;M.nr / M.r;1.362;0.236;Inf;0.792;2.343;1;1.787;0.9002
;;;;;;;;1;M.nr / I.nr;1.162;0.192;Inf;0.691;1.952;1;0.906;1
;;;;;;;;1;M.nr / H.r;1.717;0.319;Inf;0.96;3.073;1;2.916;0.1011
;;;;;;;;1;M.r / I.nr;0.853;0.152;Inf;0.487;1.494;1;-0.89;1
;;;;;;;;1;M.r / H.r;1.261;0.249;Inf;0.679;2.342;1;1.174;0.9997
;;;;;;;;1;I.nr / H.r;1.478;0.282;Inf;0.812;2.69;1;2.047;0.7117
;;;;;;;;2;L.nr / M.nr;0.556;0.11;Inf;0.299;1.031;1;-2.981;0.0828
;;;;;;;;2;L.nr / M.r;0.656;0.133;Inf;0.346;1.241;1;-2.074;0.6878
;;;;;;;;2;L.nr / I.nr;0.556;0.11;Inf;0.299;1.031;1;-2.981;0.0828
;;;;;;;;2;L.nr / H.r;0.8;0.17;Inf;0.411;1.556;1;-1.052;1
;;;;;;;;2;M.nr / M.r;1.18;0.205;Inf;0.684;2.037;1;0.953;1
;;;;;;;;2;M.nr / I.nr;1;0.167;Inf;0.593;1.687;1;0;1
;;;;;;;;2;M.nr / H.r;1.44;0.265;Inf;0.808;2.565;1;1.981;0.7686
;;;;;;;;2;M.r / I.nr;0.847;0.147;Inf;0.491;1.462;1;-0.953;1
;;;;;;;;2;M.r / H.r;1.22;0.233;Inf;0.671;2.219;1;1.042;1
;;;;;;;;2;I.nr / H.r;1.44;0.265;Inf;0.808;2.565;1;1.981;0.7686
;;;;;;;;3;L.nr / M.nr;0.618;0.121;Inf;0.334;1.143;1;-2.455;0.3465
;;;;;;;;3;L.nr / M.r;0.6;0.117;Inf;0.325;1.107;1;-2.617;0.2344
;;;;;;;;3;L.nr / I.nr;0.525;0.1;Inf;0.289;0.954;1;-3.382;0.0214
;;;;;;;;3;L.nr / H.r;0.913;0.195;Inf;0.467;1.783;1;-0.426;1
;;;;;;;;3;M.nr / M.r;0.971;0.165;Inf;0.569;1.657;1;-0.17;1
;;;;;;;;3;M.nr / I.nr;0.85;0.14;Inf;0.507;1.426;1;-0.985;1
;;;;;;;;3;M.nr / H.r;1.478;0.282;Inf;0.812;2.69;1;2.047;0.7117
;;;;;;;;3;M.r / I.nr;0.875;0.143;Inf;0.524;1.462;1;-0.816;1
;;;;;;;;3;M.r / H.r;1.522;0.289;Inf;0.839;2.76;1;2.212;0.5596
;;;;;;;;3;I.nr / H.r;1.739;0.322;Inf;0.973;3.107;1;2.991;0.0802
